Designator,Mid X,Mid Y,Rotation,Layer
C1,119.38,-81.28,0.0,top
C2,144.78,-127.0,180.0,top
C3,127.0,-92.94,90.0,top
C4,134.62,-127.0,0.0,top
C5,73.66,-137.16,180.0,top
C6,109.22,-62.46,270.0,top
C7,116.84,-63.5,0.0,top
C8,171.22,-63.5,0.0,top
C9,182.88,-73.66,180.0,top
D1,137.16,-68.58,90.0,top
D2,137.16,-91.44,90.0,top
D3,162.56,-68.58,90.0,top
D4,162.56,-91.44,90.0,top
D5,114.3,-71.12,0.0,top
D6,132.08,-99.06,90.0,top
J1,66.04,-129.54,90.0,top
J2,101.6,-55.88,180.0,top
J3,205.74,-119.38,180.0,top
J4,203.2,-142.24,90.0,top
J5,205.74,-101.6,180.0,top
J6,185.42,-142.24,90.0,top
Q1,147.32,-63.5,90.0,top
Q2,154.94,-78.74,90.0,top
Q3,154.94,-63.5,270.0,top
Q4,147.32,-78.74,90.0,top
R1,141.5,-121.92,0.0,top
R2,101.6,-88.9,0.0,top
R3,101.6,-91.44,0.0,top
R4,146.58,-119.38,180.0,top
R5,147.32,-142.24,180.0,top
R6,142.24,-137.16,0.0,top
R7,147.32,-134.62,180.0,top
SW1,162.56,-139.7,90.0,top
SW2,83.82,-144.78,0.0,top
SW3,101.6,-144.78,0.0,top
SW4,68.58,-144.78,0.0,top
SW5,202.8175,-91.3225,90.0,top
SW6,167.7575,-139.3175,0.0,top
U1,154.94,-124.46,180.0,top
U2,154.94,-134.62,0.0,top
U3,119.38,-88.9,0.0,top
U4,73.66,-127.0,0.0,top
U5,76.095,-76.945,0.0,top
U6,172.72,-73.66,0.0,top
U7,116.98,-53.76,90.0,top
Y1,81.28,-129.54,0.0,top
