Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C_1.1nf,C_0402_1005Metric,179.33,-68.59,0.0,top
C2,C_100n,C_0402_1005Metric,150.805,-128.06,180.0,top
C3,C_1.1nf,C_0402_1005Metric,153.805,-69.81,0.0,top
C4,C_1u,C_0402_1005Metric,174.7,-132.2,180.0,top
C5,C_100n,C_0402_1005Metric,130.93,-137.1,180.0,top
C6,C_100u,C_1206_3216Metric,147.74,-64.89,0.0,top
C7,C_100u,C_1206_3216Metric,157.05,-93.32,180.0,top
C8,C_1u,C_0402_1005Metric,143.33,-94.37,180.0,top
C9,C_10u,C_0402_1005Metric,141.38,-101.22,-90.0,top
C10,C_18p,C_0402_1005Metric,115.86,-135.77,90.0,top
C11,C_18p,C_0402_1005Metric,116.35,-132.47,90.0,top
C12,C_1u,C_0402_1005Metric,170.7,-74.16,0.0,top
C13,C_1u,C_0402_1005Metric,159.275,-130.56,0.0,top
C14,C_1u,C_0402_1005Metric,158.675,-136.97,0.0,top
C15,C_1u,C_0402_1005Metric,145.58,-75.25,0.0,top
C16,C_1u,C_0402_1005Metric,146.105,-132.97,0.0,top
C17,C_1u,C_0402_1005Metric,154.855,-133.55,180.0,top
C18,C_1u,C_0402_1005Metric,153.48,-105.12,90.0,top
C19,C_1u,C_0402_1005Metric,168.88,-100.67,90.0,top
C20,C_1u,C_0402_1005Metric,167.95,-89.72,90.0,top
C21,C_1u,C_0402_1005Metric,130.9,-138.3,0.0,top
C22,C_1u,C_0402_1005Metric,118.26,-135.76,0.0,top
C23,C_1u,C_0402_1005Metric,170.3,-128.4,180.0,top
C24,C_1.1nf,C_0402_1005Metric,130.08,-129.27,0.0,top
C25,C_100n,C_0402_1005Metric,143.055,-136.67,0.0,top
C26,C_1u,C_0402_1005Metric,171.8,-134.8,0.0,top
D1,1N4007,D_SOD-123F,160.7,-52.73,0.0,top
D2,1N4007,D_SOD-123F,160.7,-48.86,180.0,top
D3,1N4007,D_SOD-123F,160.55,-63.87,0.0,top
D4,1N4007,D_SOD-123F,160.56,-59.87,180.0,top
D5,1N4148WS,D_SOD-323,166.25,-69.28,180.0,top
D6,1N4148WS,D_SOD-323,140.25,-68.0,180.0,top
D7,1N4148WS,D_SOD-323,127.0,-65.0,0.0,top
J1,Conn_01x02_Female,PinHeader_1x02_P2.54mm_Vertical,133.66,-133.02,0.0,top
J2,Jack-DC,BarrelJack_GCT_DCJ200-10-A_Horizontal,183.23,-49.98,180.0,top
J3,Algılama sargısı girişi,USB_Micro-B_Molex-105017-0001,186.3,-136.9,90.0,top
J4,Jack-DC,BarrelJack_GCT_DCJ200-10-A_Horizontal,142.65,-53.3,180.0,top
J5,power,PinHeader_1x02_P2.54mm_Vertical,130.06,-49.02,0.0,top
J7,JTAG-SBW,PinHeader_1x06_P2.54mm_Vertical,120.96,-53.92,0.0,top
Q1,AP2300,TSOT-23,168.1,-53.3,-90.0,top
Q2,AP2300,TSOT-23,168.32,-47.51,180.0,top
Q3,AP2300,TSOT-23,167.68,-59.59,0.0,top
Q4,AP2300,TSOT-23,167.7,-64.68,180.0,top
R1,R_100k,R_0402_1005Metric,177.7,-137.1,90.0,top
R2,R_1k,R_0402_1005Metric,170.73,-72.36,0.0,top
R3,R_1k,R_0402_1005Metric,170.72,-70.86,0.0,top
R4,R_10k,R_0402_1005Metric,164.565,-133.08,180.0,top
R5,R_100k,R_0402_1005Metric,179.0,-132.0,180.0,top
R6,R_200k,R_0402_1005Metric,179.0,-134.0,180.0,top
R7,R_56k,R_0402_1005Metric,146.235,-137.2,180.0,top
R8,R_1k,R_0402_1005Metric,145.62,-73.75,0.0,top
R9,R_1k,R_0402_1005Metric,145.65,-72.25,0.0,top
R10,R_10,R_1206_3216Metric,157.0,-89.22,0.0,top
R11,R_10,R_1206_3216Metric,158.53,-102.92,0.0,top
R12,R_47k,R_0402_1005Metric,130.27,-132.59,-90.0,top
R13,R_200k,R_0402_1005Metric,175.3,-138.1,0.0,top
R14,R_10k,R_0402_1005Metric,165.0,-135.0,90.0,top
R15,R_10k,R_0402_1005Metric,155.0,-131.0,180.0,top
R16,R_0,R_1206_3216Metric,182.0,-133.4625,-90.0,top
R17,R_0,R_1206_3216Metric,181.4,-138.4,0.0,top
R18,R_100k,R_0402_1005Metric,150.8,-129.2,180.0,top
U1,SN74LVC1G3157DCKR,Texas_R-PDSO-G6,169.095,-131.09,90.0,top
U2,TP2311,SOT-23-5,161.195,-133.43,90.0,top
U3,LP1111SOF,SOP-8_3.9x4.9mm_P1.27mm,179.11,-71.8,0.0,top
U4,MSP430AFE253IPW,TSSOP-24_4.4x7.8mm_P0.65mm,124.59,-137.06,180.0,top
U6,ME7660C,SOP-8_3.9x4.9mm_P1.27mm,148.53,-100.92,0.0,top
U7,AMS1117-3.3V,SOT-223-3_TabPin2,146.0,-89.42,0.0,top
U8,LP1111SOF,SOP-8_3.9x4.9mm_P1.27mm,153.57,-73.15,0.0,top
U9,TP2311,SOT-23-5,150.965,-133.59,180.0,top
U10,AN431,SOT-23,163.975,-90.155,-90.0,top
U11,AN431,SOT-23,165.58,-101.27,90.0,top
U12,TP2311,SOT-23-5,175.0,-135.0,90.0,top
Y1,Crystal_GND23_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,111.96,-133.42,180.0,top
