Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,C_1.1nf,
C10,0402,1,C_18p,
C11,0402,1,C_18p,
C12,0402,1,C_1u,
C13,0402,1,C_1u,
C14,0402,1,C_1u,
C15,0402,1,C_1u,
C16,0402,1,C_1u,
C17,0402,1,C_1u,
C18,0402,1,C_1u,
C19,0402,1,C_1u,
C2,0402,1,C_100n,
C20,0402,1,C_1u,
C21,0402,1,C_1u,
C22,0402,1,C_1u,
C23,0402,1,C_1u,
C24,0402,1,C_1.1nf,
C25,0402,1,C_100n,
C26,0402,1,C_1u,
C3,0402,1,C_1.1nf,
C4,0402,1,C_1u,
C5,0402,1,C_100n,
C6,1206,1,C_100u,
C7,1206,1,C_100u,
C8,0402,1,C_1u,
C9,0402,1,C_10u,
"D1, D2, D3, D4",D_SOD-123F,4,1N4007,
"D5, D6, D7",D_SOD-323,3,1N4148WS,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Female,
"J2, J4",BarrelJack_GCT_DCJ200-10-A_Horizontal,2,Jack-DC,
J3,USB_Micro-B_Molex-105017-0001,1,Algılama sargısı girişi,
J5,PinHeader_1x02_P2.54mm_Vertical,1,power,
J7,PinHeader_1x06_P2.54mm_Vertical,1,JTAG-SBW,
"Q1, Q2, Q3, Q4",TSOT-23,4,AP2300,
R1,0402,1,R_100k,
R10,1206,1,R_10,
R11,1206,1,R_10,
R12,0402,1,R_47k,
R13,0402,1,R_200k,
R14,0402,1,R_10k,
R15,0402,1,R_10k,
R16,1206,1,R_0,
R17,1206,1,R_0,
R18,0402,1,R_100k,
R2,0402,1,R_1k,
R3,0402,1,R_1k,
R4,0402,1,R_10k,
R5,0402,1,R_100k,
R6,0402,1,R_200k,
R7,0402,1,R_56k,
R8,0402,1,R_1k,
R9,0402,1,R_1k,
"SW1, SW2, SW3",SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile,3,SW_DIP_x01,
U1,Texas_R-PDSO-G6,1,SN74LVC1G3157DCKR,
"U10, U11",SOT-23,2,AN431,
"U12, U2, U9",SOT-23-5,3,TP2311,
"U3, U8",SOP-8_3.9x4.9mm_P1.27mm,2,LP1111SOF,
U4,TSSOP-24_4.4x7.8mm_P0.65mm,1,MSP430AFE253IPW,
U5,RPi_Pico_SMD_TH,1,Pico,
U6,SOP-8_3.9x4.9mm_P1.27mm,1,ME7660C,
U7,SOT-223-3_TabPin2,1,AMS1117-3.3V,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND23_Small,
